code_insee|nom|epci|libepci
80325|FONTAINE-LES-CAPPY|200070928|CC Terre de Picardie
80326|FONTAINE-SOUS-MONTDIDIER|200070977|CC du Grand Roye
80327|FONTAINE-SUR-MAYE|200070936|CC Ponthieu-Marquenterre
80328|FONTAINE-SUR-SOMME|200070993|CA de la Baie de Somme
80329|FORCEVILLE|248000747|CC du Pays du Coquelicot
80330|FORCEVILLE-EN-VIMEU|200071181|CC Somme Sud-Ouest
80331|FOREST-L'ABBAYE|200070936|CC Ponthieu-Marquenterre
80332|FOREST-MONTIERS|200070936|CC Ponthieu-Marquenterre
80333|FORT-MAHON-PLAGE|200070936|CC Ponthieu-Marquenterre
80334|FOSSEMANANT|200071181|CC Somme Sud-Ouest
80335|FOUCAUCOURT-EN-SANTERRE|200070928|CC Terre de Picardie
80336|FOUCAUCOURT-HORS-NESLE|200071181|CC Somme Sud-Ouest
80337|FOUENCAMPS|200070969|CC Avre Luce Noye
80338|FOUILLOY|248000499|CC du Val de Somme
80339|FOUQUESCOURT|200070928|CC Terre de Picardie
80340|FOURCIGNY|200071181|CC Somme Sud-Ouest
80341|FOURDRINOY|200071223|CC Nièvre et Somme
80342|FRAMERVILLE-RAINECOURT|200070928|CC Terre de Picardie
80343|FRAMICOURT|200071181|CC Somme Sud-Ouest
80344|FRANCIERES|200070936|CC Ponthieu-Marquenterre
80345|FRANLEU|200070993|CA de la Baie de Somme
80346|FRANQUEVILLE|200071223|CC Nièvre et Somme
80347|FRANSART|200070928|CC Terre de Picardie
80348|FRANSU|200071223|CC Nièvre et Somme
80349|FRANSURES|200070969|CC Avre Luce Noye
80350|FRANVILLERS|248000499|CC du Val de Somme
80351|FRECHENCOURT|200070951|CC du Territoire Nord Picardie
80352|FREMONTIERS|200071181|CC Somme Sud-Ouest
80353|FRESNES-MAZANCOURT|200070928|CC Terre de Picardie
80354|FRESNES-TILLOLOY|200071181|CC Somme Sud-Ouest
80355|FRESNEVILLE|200071181|CC Somme Sud-Ouest
80356|FRESNOY-ANDAINVILLE|200071181|CC Somme Sud-Ouest
80357|FRESNOY-AU-VAL|200071181|CC Somme Sud-Ouest
80358|FRESNOY-EN-CHAUSSEE|200070969|CC Avre Luce Noye
80359|FRESNOY-LES-ROYE|200070977|CC du Grand Roye
80360|FRESSENNEVILLE|200070944|CC du Vimeu
80361|FRETTECUISSE|200071181|CC Somme Sud-Ouest
80362|FRETTEMEULE|200069722|CC Interrégionale Aumale  Blangy-sur-Bresle
80364|FRIAUCOURT|247600588|CC des Villes Soeurs
80365|FRICAMPS|200071181|CC Somme Sud-Ouest
80366|FRICOURT|248000747|CC du Pays du Coquelicot
80367|FRISE|248000747|CC du Pays du Coquelicot
80368|FRIVILLE-ESCARBOTIN|200070944|CC du Vimeu
80369|FROHEN-SUR-AUTHIE|200070951|CC du Territoire Nord Picardie
80371|FROYELLES|200070936|CC Ponthieu-Marquenterre
80372|FRUCOURT|200070993|CA de la Baie de Somme
80373|GAMACHES|247600588|CC des Villes Soeurs
80374|GAPENNES|200070936|CC Ponthieu-Marquenterre
80375|GAUVILLE|200071181|CC Somme Sud-Ouest
80376|GENTELLES|248000499|CC du Val de Somme
80377|GEZAINCOURT|200070951|CC du Territoire Nord Picardie
80378|GINCHY|200037059|CC de la Haute Somme
80379|GLISY|248000531|CA Amiens Métropole
80380|GORENFLOS|200070936|CC Ponthieu-Marquenterre
80381|GORGES|200070951|CC du Territoire Nord Picardie
80383|GOYENCOURT|200070977|CC du Grand Roye
80384|GRANDCOURT|248000747|CC du Pays du Coquelicot
80385|GRAND-LAVIERS|200070993|CA de la Baie de Somme
80386|GRATIBUS|200070977|CC du Grand Roye
80387|GRATTEPANCHE|248000531|CA Amiens Métropole
80388|GREBAULT-MESNIL|200070944|CC du Vimeu
80389|GRECOURT|200070985|CC de l'Est de la Somme
80390|GRIVESNES|200070969|CC Avre Luce Noye
80391|GRIVILLERS|200070977|CC du Grand Roye
80392|GROUCHES-LUCHUEL|200070951|CC du Territoire Nord Picardie
80393|GRUNY|200070977|CC du Grand Roye
80395|GUERBIGNY|200070977|CC du Grand Roye
80396|GUESCHART|200070936|CC Ponthieu-Marquenterre
80397|GUEUDECOURT|200037059|CC de la Haute Somme
80399|GUIGNEMICOURT|248000531|CA Amiens Métropole
80400|GUILLAUCOURT|200070928|CC Terre de Picardie
80401|GUILLEMONT|200037059|CC de la Haute Somme
80402|GUIZANCOURT|200071181|CC Somme Sud-Ouest
80403|GUYENCOURT-SUR-NOYE|200070969|CC Avre Luce Noye
80404|GUYENCOURT-SAULCOURT|200037059|CC de la Haute Somme
80405|HAILLES|200070969|CC Avre Luce Noye
80406|HALLENCOURT|200070993|CA de la Baie de Somme
80407|HALLIVILLERS|200070969|CC Avre Luce Noye
80408|HALLOY-LES-PERNOIS|200071223|CC Nièvre et Somme
80409|HALLU|200070928|CC Terre de Picardie
80410|HAM|200070985|CC de l'Est de la Somme
