CODGEO;LIBGEO;EPCI;LIBEPCI
01289;Péronnas;240100628;CA Bourg en Bresse Agglomération
01290;Pérouges;240100883;CC de la Plaine de l'Ain
01291;Perrex;240100826;CC du Canton de Pont de Veyle
01292;Le Petit-Abergement;240100370;CC du Valromey
01293;Peyriat;200042935;CC Haut - Bugey
01294;Peyrieu;200040350;CC Bugey Sud
01295;Peyzieux-sur-Saône;240100594;CC Val de Saône - Chalaronne
01296;Pirajoux;240100651;CC du Canton de Coligny
01297;Pizay;240100610;CC du Canton de Montluel
01298;Plagne;240100891;CC du Pays Bellegardien (Ccpb)
01299;Le Plantay;240100677;CC du Canton de Chalamont
01300;Le Poizat;200042935;CC Haut - Bugey
01301;Polliat;240100628;CA Bourg en Bresse Agglomération
01302;Pollieu;200040350;CC Bugey Sud
01303;Poncin;200029999;CC Rives de l'Ain - Pays du Cerdon
01304;Pont-d'Ain;200029999;CC Rives de l'Ain - Pays du Cerdon
01305;Pont-de-Vaux;240100685;CC du Canton de Pont de Vaux
01306;Pont-de-Veyle;240100826;CC du Canton de Pont de Veyle
01307;Port;200042935;CC Haut - Bugey
01308;Pougny;240100750;CC du Pays de Gex
01309;Pouillat;240100636;CC de Treffort en Revermont
01310;Prémeyzel;200040350;CC Bugey Sud
01311;Prémillieu;240100578;CC du Plateau d'hauteville
01312;Pressiat;240100636;CC de Treffort en Revermont
01313;Prévessin-Moëns;240100750;CC du Pays de Gex
01314;Priay;200029999;CC Rives de l'Ain - Pays du Cerdon
01316;Pugieu;200040350;CC Bugey Sud
01317;Ramasse;240100693;CC de la Vallière
01318;Rancé;200042497;CC Dombes Saône Vallée
01319;Relevant;200035210;CC Chalaronne Centre
01320;Replonges;240100818;CC du Pays de Bâgé
01321;Revonnas;240100693;CC de la Vallière
01322;Reyrieux;200042497;CC Dombes Saône Vallée
01323;Reyssouze;240100685;CC du Canton de Pont de Vaux
01325;Rignieux-le-Franc;240100883;CC de la Plaine de l'Ain
01328;Romans;200035210;CC Chalaronne Centre
01329;Rossillon;200040350;CC Bugey Sud
01330;Ruffieu;240100370;CC du Valromey
01331;Saint-Alban;200029999;CC Rives de l'Ain - Pays du Cerdon
01332;Saint-André-de-Bâgé;240100818;CC du Pays de Bâgé
01333;Saint-André-de-Corcy;240100875;CC Centre Dombes
01334;Saint-André-d'Huiriat;240100826;CC du Canton de Pont de Veyle
01335;Saint-André-le-Bouchoux;200035210;CC Chalaronne Centre
01336;Saint-André-sur-Vieux-Jonc;240100628;CA Bourg en Bresse Agglomération
01337;Saint-Bénigne;240100685;CC du Canton de Pont de Vaux
01338;Saint-Benoît;200040350;CC Bugey Sud
01339;Saint-Bernard;200042497;CC Dombes Saône Vallée
01340;Saint-Bois;200040350;CC Bugey Sud
01341;Saint-Champ;200040350;CC Bugey Sud
01342;Sainte-Croix;240100610;CC du Canton de Montluel
01343;Saint-Cyr-sur-Menthon;240100826;CC du Canton de Pont de Veyle
01344;Saint-Denis-lès-Bourg;240100628;CA Bourg en Bresse Agglomération
01345;Saint-Denis-en-Bugey;240100883;CC de la Plaine de l'Ain
01346;Saint-Didier-d'Aussiat;240100156;CC de Montrevel - en - Bresse
01347;Saint-Didier-de-Formans;200042497;CC Dombes Saône Vallée
01348;Saint-Didier-sur-Chalaronne;240100594;CC Val de Saône - Chalaronne
01349;Saint-Éloi;240100883;CC de la Plaine de l'Ain
01350;Saint-Étienne-du-Bois;240100636;CC de Treffort en Revermont
01351;Saint-Étienne-sur-Chalaronne;240100594;CC Val de Saône - Chalaronne
01352;Saint-Étienne-sur-Reyssouze;240100685;CC du Canton de Pont de Vaux
01353;Sainte-Euphémie;200042497;CC Dombes Saône Vallée
01354;Saint-Genis-Pouilly;240100750;CC du Pays de Gex
01355;Saint-Genis-sur-Menthon;240100826;CC du Canton de Pont de Veyle
01356;Saint-Georges-sur-Renon;200035210;CC Chalaronne Centre
01357;Saint-Germain-de-Joux;240100891;CC du Pays Bellegardien (Ccpb)
01358;Saint-Germain-les-Paroisses;200040350;CC Bugey Sud
01359;Saint-Germain-sur-Renon;240100875;CC Centre Dombes
01360;Saint-Jean-de-Gonville;240100750;CC du Pays de Gex
01361;Saint-Jean-de-Niost;240100883;CC de la Plaine de l'Ain
01362;Saint-Jean-de-Thurigneux;200042497;CC Dombes Saône Vallée
01363;Saint-Jean-le-Vieux;200029999;CC Rives de l'Ain - Pays du Cerdon
01364;Saint-Jean-sur-Reyssouze;240100339;CC du Canton de Saint Trivier de Courtes
01365;Saint-Jean-sur-Veyle;240100826;CC du Canton de Pont de Veyle
01366;Sainte-Julie;240100883;CC de la Plaine de l'Ain
01367;Saint-Julien-sur-Reyssouze;240100339;CC du Canton de Saint Trivier de Courtes
01368;Saint-Julien-sur-Veyle;240100669;CC des Bords de Veyle
01369;Saint-Just;240100693;CC de la Vallière
01370;Saint-Laurent-sur-Saône;247104193;CA du Mâconnais-Val de Saône
01371;Saint-Marcel;240100875;CC Centre Dombes
01372;Saint-Martin-de-Bavel;200040350;CC Bugey Sud
01373;Saint-Martin-du-Frêne;200042935;CC Haut - Bugey
01374;Saint-Martin-du-Mont;240100842;CC Bresse Dombes Sud Revermont
01375;Saint-Martin-le-Châtel;240100156;CC de Montrevel - en - Bresse
01376;Saint-Maurice-de-Beynost;240100800;CC de Miribel et du Plateau
01378;Saint-Maurice-de-Gourdans;240100883;CC de la Plaine de l'Ain
01379;Saint-Maurice-de-Rémens;240100883;CC de la Plaine de l'Ain
01380;Saint-Nizier-le-Bouchoux;240100339;CC du Canton de Saint Trivier de Courtes
01381;Saint-Nizier-le-Désert;240100677;CC du Canton de Chalamont
01382;Sainte-Olive;240100875;CC Centre Dombes
01383;Saint-Paul-de-Varax;240100875;CC Centre Dombes
01384;Saint-Rambert-en-Bugey;240100396;CC de la Vallée de l'Albarine
01385;Saint-Rémy;240100628;CA Bourg en Bresse Agglomération
01386;Saint-Sorlin-en-Bugey;240100883;CC de la Plaine de l'Ain
01387;Saint-Sulpice;240100156;CC de Montrevel - en - Bresse
01388;Saint-Trivier-de-Courtes;240100339;CC du Canton de Saint Trivier de Courtes
01389;Saint-Trivier-sur-Moignans;200035210;CC Chalaronne Centre
01390;Saint-Vulbas;240100883;CC de la Plaine de l'Ain
01391;Salavre;240100651;CC du Canton de Coligny
01392;Samognat;200042935;CC Haut - Bugey
01393;Sandrans;200035210;CC Chalaronne Centre
01396;Sault-Brénaz;240100883;CC de la Plaine de l'Ain
01397;Sauverny;240100750;CC du Pays de Gex
01398;Savigneux;200042497;CC Dombes Saône Vallée
01399;Ségny;240100750;CC du Pays de Gex
01400;Seillonnaz;240100412;CC Rhône - Chartreuse de Portes
01401;Sergy;240100750;CC du Pays de Gex
01402;Sermoyer;240100685;CC du Canton de Pont de Vaux
01403;Serrières-de-Briord;240100412;CC Rhône - Chartreuse de Portes
01404;Serrières-sur-Ain;200029999;CC Rives de l'Ain - Pays du Cerdon
01405;Servas;240100628;CA Bourg en Bresse Agglomération
01406;Servignat;240100339;CC du Canton de Saint Trivier de Courtes
01407;Seyssel;247400823;CC du Pays de Seyssel
01408;Simandre-sur-Suran;240100636;CC de Treffort en Revermont
01409;Songieu;240100370;CC du Valromey
01410;Sonthonnax-la-Montagne;200042935;CC Haut - Bugey
01411;Souclin;240100883;CC de la Plaine de l'Ain
01412;Sulignat;200035210;CC Chalaronne Centre
01413;Surjoux;240100891;CC du Pays Bellegardien (Ccpb)
01414;Sutrieu;240100370;CC du Valromey
01415;Talissieu;240100370;CC du Valromey
01416;Tenay;240100396;CC de la Vallée de l'Albarine
01417;Thézillieu;240100578;CC du Plateau d'hauteville
01418;Thil;240100800;CC de Miribel et du Plateau
01419;Thoiry;240100750;CC du Pays de Gex
01420;Thoissey;240100594;CC Val de Saône - Chalaronne
01421;Torcieu;240100396;CC de la Vallée de l'Albarine
01422;Tossiat;240100842;CC Bresse Dombes Sud Revermont
01423;Toussieux;200042497;CC Dombes Saône Vallée
01424;Tramoyes;240100800;CC de Miribel et du Plateau
01425;La Tranclière;240100842;CC Bresse Dombes Sud Revermont
01426;Treffort-Cuisiat;240100636;CC de Treffort en Revermont
01427;Trévoux;200042497;CC Dombes Saône Vallée
01428;Valeins;200035210;CC Chalaronne Centre
01429;Vandeins;240100628;CA Bourg en Bresse Agglomération
01430;Varambon;200029999;CC Rives de l'Ain - Pays du Cerdon
01431;Vaux-en-Bugey;240100883;CC de la Plaine de l'Ain
01432;Verjon;240100651;CC du Canton de Coligny
01433;Vernoux;240100339;CC du Canton de Saint Trivier de Courtes
01434;Versailleux;240100677;CC du Canton de Chalamont
01435;Versonnex;240100750;CC du Pays de Gex
01436;Vesancy;240100750;CC du Pays de Gex
01437;Vescours;240100339;CC du Canton de Saint Trivier de Courtes
01439;Vésines;240100818;CC du Pays de Bâgé
01441;Vieu-d'Izenave;200042935;CC Haut - Bugey
01442;Vieu;240100370;CC du Valromey
01443;Villars-les-Dombes;240100875;CC Centre Dombes
01444;Villebois;240100883;CC de la Plaine de l'Ain
01445;Villemotier;240100651;CC du Canton de Coligny
01446;Villeneuve;200042497;CC Dombes Saône Vallée
01447;Villereversure;240100693;CC de la Vallière
01448;Villes;240100891;CC du Pays Bellegardien (Ccpb)
01449;Villette-sur-Ain;240100677;CC du Canton de Chalamont
01450;Villieu-Loyes-Mollon;240100883;CC de la Plaine de l'Ain
01451;Viriat;240100628;CA Bourg en Bresse Agglomération
01452;Virieu-le-Grand;200040350;CC Bugey Sud
01453;Virieu-le-Petit;240100370;CC du Valromey
01454;Virignin;200040350;CC Bugey Sud
01456;Vongnes;200040350;CC Bugey Sud
01457;Vonnas;240100669;CC des Bords de Veyle
02001;Abbécourt;240200683;CC Chauny Tergnier
02002;Achery;240200428;CC des Villes d'Oyse
02003;Acy;240200477;CA du Soissonnais
02004;Agnicourt-et-Séchelles;240200469;CC du Pays de la Serre
02005;Aguilcourt;240200576;CC de la Champagne Picarde
02006;Aisonville-et-Bernoville;240200485;CC de la Région de Guise
02007;Aizelles;240200592;CC du Chemin des Dames
02008;Aizy-Jouy;240200501;CC du Val de l'Aisne
02009;Alaincourt;200040426;CC du Val de L'oise
02010;Allemant;240200501;CC du Val de l'Aisne
02011;Ambleny;240200436;CC du Pays de la Vallée de l'Aisne
02012;Ambrief;240200519;CC du Canton d'Oulchy le Château
02013;Amifontaine;240200576;CC de la Champagne Picarde
02014;Amigny-Rouy;240200683;CC Chauny Tergnier
02015;Ancienville;240200568;CC de l'Ourcq et du Clignon
02016;Andelain;240200428;CC des Villes d'Oyse
02017;Anguilcourt-le-Sart;240200428;CC des Villes d'Oyse
02018;Anizy-le-Château;240200659;CC des Vallons d'Anizy
02019;Annois;240200527;CC du Canton de Saint Simon (C32s)
02020;Any-Martin-Rieux;240200600;CC du Pays des Trois Rivières
02021;Archon;240200634;CC des Portes de la Thiérache
02022;Arcy-Sainte-Restitue;240200519;CC du Canton d'Oulchy le Château
02023;Armentières-sur-Ourcq;240200568;CC de l'Ourcq et du Clignon
02024;Arrancy;200043495;CA du Pays de Laon
02025;Artemps;240200527;CC du Canton de Saint Simon (C32s)
02026;Artonges;240200550;CC du Canton de Condé en Brie
02027;Assis-sur-Serre;240200469;CC du Pays de la Serre
02028;Athies-sous-Laon;200043495;CA du Pays de Laon
02029;Attilly;240200493;CC du Pays du Vermandois
02030;Aubencheul-aux-Bois;240200493;CC du Pays du Vermandois
02031;Aubenton;240200600;CC du Pays des Trois Rivières
02032;Aubigny-aux-Kaisnes;240200527;CC du Canton de Saint Simon (C32s)
02033;Aubigny-en-Laonnois;240200592;CC du Chemin des Dames
02034;Audignicourt;240200436;CC du Pays de la Vallée de l'Aisne
02035;Audigny;240200485;CC de la Région de Guise
02036;Augy;240200501;CC du Val de l'Aisne
02037;Aulnois-sous-Laon;200043495;CA du Pays de Laon
02038;Les Autels;240200634;CC des Portes de la Thiérache
02039;Autremencourt;240200469;CC du Pays de la Serre
02040;Autreppes;240200444;CC de la Thiérache du Centre
